#新闻 #八卦

🔥 9月26日(周六)夜间 杭州女仆圈八卦快报|夜间版(19:00-24:00)

1. 【[诺诺岛](https://t.me/nuoyannvpu)小鱼被挂黑榜】有群友投稿黑榜，点名诺诺岛女仆小鱼（前kitty岛小鱼），9月25日踩雷，投稿人吹雪。(来源:铁甲小宝女仆交流群,时间:20:15)

2. 【镜🕊️被列四大罪行】树洞流出长文控诉镜🕊️：睚眦必报，燕燕不脱内裤就挂黑榜，用大频道主影响力让妹妹没单；还被指恩将仇报诋毁麻将馆后自创盗版。(来源:匿名树洞杭州女仆版,时间:20:54)

3. 【吹雪被指带节奏】多名群友开撕吹雪，称其拿情报要尺度外不成便用畜生手段抹黑，还扒出"老板喊他看树洞"的现场细节，质疑他天天带节奏。(来源:匿名树洞杭州女仆版,时间:20:41/21:29)

4. 【[池奈](https://t.me/CHINAI_nvpu)女仆被避雷】有群友爆料杭州池奈女仆素质差，找客服理论直接被踢出群，怒喊大家避雷。(来源:爱,女仆和机器人群,时间:21:26)

5. 【客服甩锅老板惹众怒】群友吐槽客服总把责任推给老板，"说什么老板不同意、妹子要赚钱"，质问难道玩家的钱不是辛苦赚的？(来源:杭州女仆馆,时间:21:49)

6. 【晶晶被点名避雷】有群友在女仆馆群点名"尤其是一个叫晶晶的，大家千万要避雷"。(来源:杭州女仆馆,时间:21:27)

7. 【思诺被摁事件发酵】树洞热议思诺疑似被摁：一说私约被带走、一说店里wcn258导致出不来，客人也被查，群友吵成一团，还有人问"要不要跑路"。(来源:匿名树洞杭州女仆版,时间:19:37-19:47)

8. 【[养大鱼](https://t.me/yangdayu888)老板供店传闻】有群友爆料养大鱼老板为减刑把tg店都供出来了，思诺在外被按后承认店里情况，警方据微信记录找人。(来源:爱女机纯玩家交流群/匿名树洞,时间:23:17/19:39)

9. 【地下女仆被指双面人】树洞开撕地下女仆：推铁标大没人黑，却推小优这种对普通玩家铁标大+2000尺度无上限的，把玩家当猪杀；还被指讲话和小鲨鱼一模一样。(来源:匿名树洞杭州女仆版,时间:20:04/20:35)

10. 【小优首日被lili强奸爆料】有群友爆料小优第一天上钟就被lili强奸，后来把lili拉黑，指lili一直霍霍渐渐那边女仆，直呼"真cs"。(来源:匿名树洞杭州女仆版,时间:20:39)

11. 【麻将馆众生相被扒】树洞流出点名贴：爱椰（季霸柱）、小牛马（仇芶实，开盒第一人）、飞行员（组织58内射）等，称女仆圈最阴暗玩家。(来源:匿名树洞杭州女仆版,时间:21:05)

12. 【麻将馆与[养只小猫](https://t.me/yangzhixiaomao520)节奏战】群友指养只小猫退出麻将馆合作后，麻将馆一堆养只小猫节奏，质疑"装都不带装的"，上次点炮[悠觅](https://t.me/Youmeenp002)却没带起来。(来源:匿名树洞杭州女仆版,时间:19:50)

13. 【私约女仆早早复出】前个人女仆早早自曝10、11月临时开两月，一次2k、两次3.5k、包天6k，所有项目加wt内射加1k。(来源:匿名树洞杭州女仆版,时间:21:51)

14. 【测评返款拖延被吐槽】群友吐槽某频道返测评款墨迹，催多少回不给，非要到他群里说才给，正常写完测评拖到第二天六点还没到账。(来源:爱,女仆和机器人群,时间:21:34)

15. 【频道主起家套路被扒】树洞分析：当频道主很简单，开频道写测评、重点狗推一两个店很快就起来，暗指某些测评号靠推店赚钱。(来源:匿名树洞杭州女仆版,时间:21:36)

16. 【女仆收钱跑路】有群友在麻将馆群爆料，有的妹儿直接收了钱就跑路。(来源:女仆麻将馆,时间:20:01)

17. 【纯绿尺度吐槽合集】群友吐槽纯绿女仆：碰下衣服就喊报警、牵手都不行、过马路拉一下都跳起来问干嘛碰她，直呼给牵手算菩萨。(来源:女仆麻将馆🕊️版,时间:20:20-20:38)

18. 【吹雪模仿黑榜被嘲】树洞嘲讽吹雪写几千字测评不如ranzai搞抽象，于是邯郸学步模仿黑榜操作，被指"拙劣的模仿"。(来源:匿名树洞杭州女仆版,时间:22:57)

19. 【燕燕脱裤争议】树洞流出燕燕回应：尺度内亲胸舌吻都给了，就因为不给脱内裤被挂黑榜；另一方则称"不脱裤子确实垃圾"。(来源:匿名树洞杭州女仆版,时间:20:51/19:59)

20. 【[樱花庭院](https://t.me/Sukixyb)头牌回归】群友提到"以前樱花庭院的头牌"回归，还有人称"老头牌回来了，杭州的王"，引发怀旧讨论。(来源:爱,女仆和机器人群/女仆麻将馆🕊️版,时间:19:17/21:32)

21. 【猪猪侠客服被点名】有群友在研究所群直言"这个猪猪侠客服有东西了"，疑似又一起客服纠纷。(来源:杭州女仆研究所,时间:20:18)

22. 【客服鸽客人去哪投诉】群友发问遇到客服鸽客人的去哪投诉，并称客人投诉客服不受理还让下次再去给优惠。(来源:杭州女仆馆,时间:21:52)

输出结束。

更新时间:2026-09-27 00:10
